,JD,Band,mag,mag_err,effective_wavelength
1075,5841.854099999997,UVM2,15.49,0.18,2310
1076,5841.855300000003,UVM2,15.88,0.09,2310
1261,5841.856800000001,UVW1,14.16,0.07,2910
1262,5841.857900000003,UVW1,14.27,0.04,2910
1383,5841.859400000001,U,12.89,0.04,3663
1384,5841.860399999998,U,12.88,0.04,3663
1077,5842.047700000003,UVM2,15.89,0.08,2310
857,5842.065300000002,UVW2,15.49,0.07,2120
858,5842.387799999997,UVW2,15.64,0.15,2120
859,5842.388899999998,UVW2,15.53,0.06,2120
1600,5842.391499999998,V,11.44,0.04,5448
1078,5842.392999999996,UVM2,15.82,0.22,2310
1079,5842.394099999998,UVM2,15.76,0.08,2310
1263,5842.3956000000035,UVW1,14.42,0.08,2910
1264,5842.396800000002,UVW1,14.34,0.04,2910
1385,5842.398200000003,U,12.87,0.04,3663
1386,5842.399400000002,U,12.93,0.04,3663
1080,5842.445500000002,UVM2,15.88,0.12,2310
860,5842.461199999998,UVW2,15.55,0.07,2120
861,5842.982300000003,UVW2,15.55,0.15,2120
862,5842.983399999997,UVW2,15.54,0.06,2120
1601,5842.985999999997,V,11.51,0.04,5448
1081,5842.987500000003,UVM2,15.87,0.23,2310
1082,5842.988599999997,UVM2,15.93,0.09,2310
1265,5842.990100000003,UVW1,14.49,0.09,2910
1266,5842.991199999997,UVW1,14.41,0.04,2910
1387,5842.9927000000025,U,12.97,0.04,3663
1388,5842.993699999999,U,12.99,0.04,3663
863,5843.246800000001,UVW2,15.59,0.16,2120
864,5843.247799999997,UVW2,15.6,0.07,2120
1602,5843.250200000002,V,11.51,0.04,5448
1083,5843.251600000003,UVM2,16.18,0.28,2310
1084,5843.2526,UVM2,15.82,0.09,2310
1267,5843.254000000001,UVW1,14.4,0.09,2910
1268,5843.254999999997,UVW1,14.33,0.04,2910
1389,5843.256399999998,U,12.96,0.04,3663
1390,5843.2571000000025,U,13.0,0.04,3663
865,5843.515200000002,UVW2,15.66,0.16,2120
866,5843.5164,UVW2,15.56,0.06,2120
1603,5843.519,V,11.53,0.04,5448
1085,5843.520499999999,UVM2,16.15,0.26,2310
1086,5843.5216,UVM2,15.94,0.09,2310
1269,5843.5230999999985,UVW1,14.36,0.08,2910
1270,5843.524299999997,UVW1,14.44,0.04,2910
1391,5843.525800000003,U,13.05,0.04,3663
1392,5843.5262,U,13.02,0.04,3663
624,5843.5740000000005,J,11.713,0.01,12200
625,5843.5740000000005,H,10.797,0.008,16300
626,5843.5740000000005,K,10.939,0.012,21900
867,5843.581899999997,UVW2,15.78,0.17,2120
868,5843.582999999999,UVW2,15.61,0.07,2120
1604,5843.585500000001,V,11.55,0.04,5448
1087,5843.586900000002,UVM2,15.86,0.23,2310
1088,5843.588000000003,UVM2,16.01,0.09,2310
1271,5843.589399999997,UVW1,14.38,0.09,2910
1272,5843.590499999998,UVW1,14.41,0.04,2910
1393,5843.591999999997,U,12.94,0.04,3663
1394,5843.592299999997,U,13.02,0.04,3663
627,5844.605000000003,H,10.845,0.009,16300
869,5844.919300000001,UVW2,15.93,0.19,2120
870,5844.920400000003,UVW2,15.66,0.07,2120
1605,5844.922899999998,V,11.63,0.04,5448
1089,5844.924299999999,UVM2,15.69,0.21,2310
1090,5844.9254,UVM2,15.96,0.1,2310
1273,5844.926800000001,UVW1,14.52,0.09,2910
1274,5844.927900000002,UVW1,14.49,0.04,2910
1395,5844.929400000001,U,13.12,0.04,3663
1396,5844.9303999999975,U,13.11,0.04,3663
871,5844.985800000002,UVW2,16.64,0.3,2120
872,5844.986700000001,UVW2,15.72,0.07,2120
1606,5844.989000000001,V,11.62,0.04,5448
1091,5844.990299999998,UVM2,15.9,0.25,2310
1092,5844.991199999997,UVM2,15.88,0.09,2310
1275,5844.9925,UVW1,14.47,0.09,2910
1276,5844.993399999999,UVW1,14.46,0.05,2910
1397,5844.994700000003,U,13.12,0.04,3663
1398,5844.9954,U,13.13,0.04,3663
873,5845.0527,UVW2,15.74,0.2,2120
874,5845.053500000002,UVW2,15.74,0.08,2120
1093,5845.054600000003,UVM2,15.84,0.27,2310
1094,5845.0553999999975,UVM2,16.1,0.11,2310
875,5845.070500000002,UVW2,15.54,0.09,2120
876,5845.1198,UVW2,15.74,0.09,2120
877,5845.136899999998,UVW2,15.64,0.07,2120
878,5845.187100000003,UVW2,15.64,0.08,2120
879,5845.2042,UVW2,15.61,0.07,2120
880,5845.253700000001,UVW2,15.73,0.08,2120
881,5845.270900000003,UVW2,15.7,0.07,2120
882,5845.387799999997,UVW2,15.84,0.09,2120
883,5845.404199999997,UVW2,15.68,0.07,2120
628,5845.593999999997,J,11.718,0.01,12200
629,5845.593999999997,H,10.891,0.009,16300
630,5845.593999999997,K,11.04,0.015,21900
884,5846.197399999997,UVW2,15.68,0.15,2120
885,5846.198600000003,UVW2,15.69,0.07,2120
1607,5846.201399999998,V,11.71,0.04,5448
1095,5846.202899999997,UVM2,16.42,0.28,2310
1096,5846.204100000003,UVM2,16.03,0.09,2310
1277,5846.205699999999,UVW1,14.53,0.09,2910
1278,5846.206899999997,UVW1,14.56,0.04,2910
1399,5846.208400000003,U,13.25,0.04,3663
1400,5846.209600000002,U,13.17,0.04,3663
886,5846.933499999999,UVW2,15.98,0.19,2120
887,5846.934800000003,UVW2,15.86,0.07,2120
1608,5846.9375999999975,V,11.76,0.04,5448
1097,5846.939200000001,UVM2,15.85,0.21,2310
1098,5846.9403999999995,UVM2,16.11,0.09,2310
1279,5846.942000000003,UVW1,14.62,0.09,2910
1280,5846.943299999999,UVW1,14.64,0.05,2910
1401,5846.944900000002,U,13.27,0.04,3663
1402,5846.946100000001,U,13.2,0.04,3663
271,5847.44,B,12.888,0.016,4361
272,5847.44,V,11.679,0.054,5448
273,5847.44,R,11.348,0.05,6407
274,5847.44,I,11.056,0.095,7980
1281,5847.534899999999,UVW1,14.68,0.04,2910
1403,5847.536999999997,U,13.25,0.04,3663
888,5847.541299999997,UVW2,16.0,0.06,2120
1099,5847.548900000002,UVM2,16.02,0.06,2310
632,5847.5740000000005,H,11.03,0.008,16300
631,5847.5740000000005,J,11.865,0.022,12200
633,5847.5740000000005,K,11.215,0.013,21900
1404,5848.007899999997,U,13.31,0.04,3663
1405,5848.0086999999985,U,13.27,0.04,3663
1491,5848.010600000001,B,12.9,0.04,4361
1609,5848.0118,V,11.9,0.04,5448
1610,5848.0164,V,11.85,0.04,5448
276,5848.45,B,12.942,0.013,4361
278,5848.45,R,11.457,0.024,6407
279,5848.45,I,11.089,0.023,7980
277,5848.45,V,11.749,0.01,5448
275,5848.45,U,12.938,0.058,3663
634,5848.57,J,11.955,0.011,12200
635,5848.57,H,11.101,0.008,16300
636,5848.57,K,11.289,0.012,21900
1282,5849.0023,UVW1,14.64,0.04,2910
1406,5849.004500000003,U,13.3,0.04,3663
889,5849.0086999999985,UVW2,15.83,0.05,2120
1611,5849.011899999998,V,11.94,0.04,5448
1100,5849.016300000003,UVM2,16.13,0.07,2310
639,5849.565999999999,K,11.405,0.026,21900
637,5849.565999999999,J,12.052,0.009,12200
638,5849.565999999999,H,11.178,0.01,16300
1283,5850.210899999998,UVW1,14.7,0.04,2910
1407,5850.212800000001,U,13.38,0.04,3663
890,5850.216500000002,UVW2,15.86,0.06,2120
1101,5850.223400000003,UVM2,16.15,0.07,2310
280,5850.44,U,13.152,0.065,3663
283,5850.44,R,11.598,0.022,6407
284,5850.44,I,11.237,0.025,7980
282,5850.44,V,11.854,0.022,5448
281,5850.44,B,13.045,0.013,4361
642,5850.565999999999,K,11.467,0.013,21900
640,5850.565999999999,J,12.135,0.016,12200
641,5850.565999999999,H,11.245,0.008,16300
1408,5851.154999999999,U,13.42,0.05,3663
1409,5851.1558,U,13.4,0.04,3663
1492,5851.157800000001,B,13.03,0.04,4361
1612,5851.159,V,12.0,0.04,5448
1613,5851.160900000003,V,12.01,0.04,5448
1284,5851.224699999999,UVW1,14.77,0.04,2910
1410,5851.226499999997,U,13.36,0.04,3663
